Player,GP,G,A,PTS,PIM,S,TOI,BLK,HIT,FOW,FOL
Ryan McDonagh,77,6,36,42,37,153,1876,160,80,0,0
James Neal,70,23,18,41,35,202,1239,18,84,3,3
Matt Duchene,77,18,23,41,12,160,1409,41,42,687,411
Frans Nielsen,79,17,24,41,18,162,1355,54,64,653,561
Brandon Dubinsky,80,12,29,41,91,115,1432,60,248,770,718
Keith Yandle,82,5,36,41,39,178,1807,76,28,0,0
Michael Grabner,76,27,13,40,10,162,1071,34,41,7,6
Adam Henrique,82,20,20,40,38,142,1490,67,87,585,628
Brayden Point,68,18,22,40,14,122,1165,31,39,238,294
Paul Stastny,66,18,22,40,36,112,1263,35,51,786,624
Lee Stempniak,82,16,24,40,32,131,1299,16,113,3,5
Phillip Danault,82,13,27,40,35,133,1278,52,76,533,498
P.K. Subban,66,10,30,40,44,142,1611,104,78,0,0
Ryan Suter,82,9,31,40,36,164,2208,105,72,0,0
Derick Brassard,81,14,25,39,24,195,1408,24,92,612,613
Oliver Ekman-Larsson,79,12,27,39,48,145,1945,85,112,0,0
Mark Giordano,81,12,27,39,59,151,1910,184,78,0,0
Cam Fowler,80,11,28,39,20,186,1988,134,29,0,0
Ryan Spooner,78,11,28,39,14,145,1099,17,24,79,124
Alec Martinez,82,9,30,39,24,144,1775,167,137,0,1
Shayne Gostisbehere,76,7,32,39,32,198,1489,94,43,0,0
Matt Niskanen,78,5,34,39,32,154,1730,93,147,0,0
Brady Skjei,80,5,34,39,42,127,1397,69,147,0,1
Brent Seabrook,79,3,36,39,26,131,1729,147,111,0,1
Rick Nash,67,23,15,38,26,195,1103,35,63,0,1
Mikko Rantanen,75,20,18,38,22,133,1354,33,29,29,21
David Backes,74,17,21,38,69,175,1267,47,225,60,63
Ryan Ellis,71,16,22,38,29,140,1701,137,64,0,0
Oscar Klefbom,82,12,26,38,6,201,1834,146,43,0,0
Jared Spurgeon,76,10,28,38,20,144,1827,140,49,0,0
Max Domi,59,9,29,38,40,108,1002,21,28,5,5
Tyson Barrie,74,7,31,38,18,182,1725,75,32,0,0
Nick Bonino,80,18,19,37,16,142,1332,99,60,582,631
Justin Faulk,75,17,20,37,32,225,1736,84,117,0,0
Reilly Smith,80,15,22,37,17,160,1468,34,75,3,3
Kris Versteeg,69,15,22,37,46,136,1016,28,5,53,49
Mika Zibanejad,56,14,23,37,16,119,956,27,23,494,456
Scott Hartnell,78,13,24,37,63,104,941,40,94,3,3
John Carlson,72,9,28,37,10,180,1635,127,58,0,0
Connor Brown,82,20,16,36,10,139,1329,46,50,2,6
Alex Killorn,81,19,17,36,66,176,1458,25,99,4,8
Anthony Mantha,60,17,19,36,53,133,954,33,46,5,6
Dustin Brown,80,14,22,36,22,175,1280,31,190,2,3
Mike Green,72,14,22,36,40,125,1696,92,67,0,0
T.J. Brodie,82,6,30,36,24,78,1934,115,30,0,0
Alex Goligoski,82,6,30,36,28,112,1913,143,137,0,0
Andrei Markov,62,6,30,36,16,98,1354,73,39,0,0
Nikita Zaitsev,82,4,32,36,38,106,1806,136,176,0,0
Sven Baertschi,68,18,17,35,8,114,1080,29,52,1,0
Andrew Cogliano,82,16,19,35,26,178,1241,27,76,8,10
Mark Letestu,78,16,19,35,17,120,1111,34,71,452,444
Brian Gionta,82,15,20,35,22,149,1362,30,54,46,60
Andre Burakovsky,64,12,23,35,14,111,849,25,31,2,5
Colin Wilson,70,12,23,35,18,113,1047,23,50,16,23
Andrej Sekera,80,8,27,35,18,128,1719,166,55,0,0
Colton Parayko,81,4,31,35,32,188,1717,117,80,0,0
Patrik Berglund,82,23,11,34,32,153,1311,42,155,584,585
Boone Jenner,82,18,16,34,52,211,1317,80,216,92,92
Brandon Sutter,81,17,17,34,12,160,1523,53,78,788,664
Tobias Rieder,80,16,18,34,6,155,1385,38,24,4,9
Tyler Toffoli,63,16,18,34,22,165,1045,4,54,2,3
Sean Couturier,66,14,20,34,33,120,1217,35,41,587,479
Mathew Dumba,76,11,23,34,59,131,1545,71,96,0,0
Nick Holden,80,11,23,34,35,84,1649,88,164,0,1
Kris Letang,41,5,29,34,32,122,1046,70,70,0,0
Jaccob Slavin,82,5,29,34,12,99,1922,161,35,0,0
Jason Chimera,82,20,13,33,40,121,1071,30,149,16,18
Gabriel Landeskog,72,18,15,33,62,169,1352,41,143,62,63
Christian Dvorak,78,15,18,33,22,88,1218,56,72,471,535
Devin Shore,82,13,20,33,14,115,1159,71,44,221,249
Radek Faksa,80,12,21,33,67,132,1294,62,101,590,632
Jean-Gabriel Pageau,82,12,21,33,24,169,1323,79,161,558,460
Jacob Trouba,60,8,25,33,54,154,1498,118,107,0,0
Dmitry Orlov,82,6,27,33,51,125,1602,94,122,0,0
Markus Granlund,69,19,13,32,14,122,1194,11,32,40,61
Dylan Larkin,80,17,15,32,37,178,1292,22,67,196,236
Zack Smith,74,16,16,32,61,137,1212,38,140,317,292
Ryan Dzingel,81,14,18,32,30,123,1165,21,71,9,21
Leo Komarov,82,14,18,32,31,114,1400,50,232,91,111
Matt Moulson,81,14,18,32,10,134,940,18,37,1,3
Andrew Ladd,78,23,8,31,45,142,1262,54,112,4,6
Ryan Hartman,76,19,12,31,70,170,970,30,121,25,37
Calle Jarnkrok,81,15,16,31,25,134,1274,29,49,452,463
Matt Cullen,72,13,18,31,30,93,1002,27,36,440,419
Mike Cammalleri,61,10,21,31,21,142,1059,14,44,17,11
Damon Severson,80,3,28,31,58,125,1628,72,79,0,0
Jay Beagle,81,13,17,30,22,100,1104,44,55,624,483
Ryan Strome,69,13,17,30,40,114,1008,21,59,147,197
Dion Phaneuf,81,9,21,30,100,156,1866,156,132,0,0
Ivan Provorov,82,6,24,30,34,161,1802,166,111,0,0
Andreas Athanasiou,64,18,11,29,28,120,862,21,30,37,46
Josh Anderson,78,17,12,29,89,119,938,40,147,8,21
Adam Lowry,82,15,14,29,52,122,1316,56,217,658,637
Andrew Shaw,68,12,17,29,110,127,1034,38,147,239,199
Craig Smith,78,12,17,29,30,155,1078,16,93,51,60
Robby Fabbri,51,11,18,29,27,91,796,14,64,13,11
Derek Ryan,67,11,18,29,22,73,998,37,33,391,316
Zdeno Chara,75,10,19,29,59,136,1750,140,130,0,1
Brendan Gallagher,64,10,19,29,39,187,966,15,69,30,44
Joel Ward,78,10,19,29,30,105,1244,56,61,222,233
Chris Kunitz,71,9,20,29,36,134,1101,28,216,3,10
Noah Hanifin,81,4,25,29,26,108,1452,73,57,0,0
Artturi Lehkonen,73,18,10,28,8,158,1012,25,72,2,2
Bryan Rust,57,15,13,28,8,110,777,29,101,2,3
Nick Ritchie,77,14,14,28,62,149,1000,24,247,4,4
Jussi Jokinen,69,11,17,28,39,118,1201,33,28,75,69
Travis Konecny,70,11,17,28,49,133,986,26,92,0,5
Zach Hyman,82,10,18,28,30,156,1369,43,109,11,18
Vladislav Namestnikov,74,10,18,28,31,114,1094,31,72,209,271
Tomas Plekanec,78,10,18,28,24,139,1312,45,57,692,660
Jason Demers,81,9,19,28,53,98,1588,90,106,0,1
Jake Muzzin,82,9,19,28,46,184,1828,122,162,0,0
Antoine Vermette,72,9,19,28,42,88,1145,45,51,744,451
Jeff Petry,80,8,20,28,22,172,1769,145,171,0,0
Nick Schmaltz,61,6,22,28,6,66,809,27,20,84,188
